Allocated = srcs/stringstream/ss_create.c, 20, ss_create, 0x603000005830[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001c750[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000085d0[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002d850[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000085f0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002d8d0[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c900[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c930[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c960[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c990[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c9c0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c9f0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001ca20[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008610[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002d910[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008630[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002d990[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cbd0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cc00[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cc30[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cc60[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cc90[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ccc0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001ccf0[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008650[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002d9d0[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008670[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002da50[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ced0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cf00[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cf30[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cf60[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cf90[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001cfc0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001cff0[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008690[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002da90[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000086b0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002db10[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d1d0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d200[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d230[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d260[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d290[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d2c0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001d2f0[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000086d0[16]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001d320[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001d350[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001d380[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001d3b0[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001d3e0[32]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002db50[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000086f0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002dbd0[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d500[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d530[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d560[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d590[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d5c0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d5f0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001d620[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008710[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002dc10[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008730[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002dc90[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d740[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d770[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d7a0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d7d0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d800[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d830[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001d860[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008750[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002dcd0[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008770[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002dd50[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d980[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d9b0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001d9e0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001da10[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001da40[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001da70[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001daa0[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008790[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002dd90[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000087b0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002de10[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001dbc0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001dbf0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001dc20[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001dc50[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001dc80[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001dcb0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001dce0[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000087d0[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002de50[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000087f0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002ded0[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001de00[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001de30[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001de60[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001de90[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001dec0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001def0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001df20[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008810[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002df10[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008830[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002df90[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e040[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e070[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e0a0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e0d0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e100[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e130[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001e160[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008850[16]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001e190[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001e1c0[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001e1f0[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001e220[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001e250[32]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002dfd0[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008870[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002e050[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e370[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e3a0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e3d0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e400[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e430[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e460[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001e490[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008890[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002e090[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000088b0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002e110[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e5b0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e5e0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e610[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e640[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e670[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e6a0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001e6d0[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000088d0[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002e150[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000088f0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002e1d0[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e7f0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e820[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e850[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e880[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e8b0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001e8e0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001e910[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008910[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002e210[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008930[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002e290[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ea30[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ea60[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ea90[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001eac0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001eaf0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001eb20[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001eb50[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008950[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002e2d0[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008970[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002e350[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ec70[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001eca0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ecd0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ed00[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ed30[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ed60[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001ed90[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008990[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002e390[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000089b0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002e410[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001eeb0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001eee0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ef10[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ef40[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001ef70[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001efa0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001efd0[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000089d0[16]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001f000[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001f030[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001f060[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001f090[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001f0c0[32]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002e450[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000089f0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 37, ft_generate_sprites_array_rows, 0x611000032a40[256]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f3c0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f3f0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f420[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f450[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f480[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f4b0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f4e0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f510[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f540[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f570[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f5a0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f5d0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f600[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f630[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f660[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f690[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f6c0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f6f0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f720[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f750[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f780[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f7b0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f7e0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f810[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f840[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f870[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f8a0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001f8d0[24]
